year,product,customer_type,price_with_vat,price_no_vat
2022,CARTILLA DE PRUEBAS DEPORTIVAS DE AGILITY,User,56.0,46.28
2023,CARTILLA DE PRUEBAS DEPORTIVAS DE AGILITY,User,56.0,46.28
2024,CARTILLA DE PRUEBAS DEPORTIVAS DE AGILITY,User,57.7,47.69
2025,CARTILLA DE PRUEBAS DEPORTIVAS DE AGILITY,User,60.6,50.08
2026,CARTILLA DE PRUEBAS DEPORTIVAS DE AGILITY,User,64.0,52.89
2024,CARTILLA DE PRUEBAS DEPORTIVAS DE CAZA,Canine_Collaborator,22.23,18.37
2025,CARTILLA DE PRUEBAS DEPORTIVAS DE CAZA,Canine_Collaborator,23.3,19.26
2019,CARTILLA DE PRUEBAS DEPORTIVAS DE CAZA,Member,39.6,32.73
2020,CARTILLA DE PRUEBAS DEPORTIVAS DE CAZA,Member,40.0,33.06
2021,CARTILLA DE PRUEBAS DEPORTIVAS DE CAZA,Member,40.0,33.06
2019,CARTILLA DE PRUEBAS DEPORTIVAS DE CAZA,User,51.0,42.15
2020,CARTILLA DE PRUEBAS DEPORTIVAS DE CAZA,User,53.3,44.05
2021,CARTILLA DE PRUEBAS DEPORTIVAS DE CAZA,User,53.3,44.05
2018,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,Member,46.9,38.76
2019,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,Member,48.0,39.67
2020,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,Member,40.0,33.06
2021,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,Member,40.0,33.06
2022,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,Member,42.0,34.71
2023,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,Member,42.0,34.71
2024,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,Member,43.3,35.79
2025,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,Member,45.5,37.6
2026,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,Member,48.0,39.67
2018,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,User,64.5,53.31
2019,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,User,66.0,54.55
2020,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,User,53.3,44.05
2021,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,User,53.3,44.05
2022,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,User,56.0,46.28
2023,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,User,56.0,46.28
2024,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,User,57.7,47.69
2025,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,User,60.6,50.08
2026,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO,User,64.0,52.89
2019,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO PARA PERROS SIN PEDIGREE,Member,5.3,4.38
2019,CARTILLA DE PRUEBAS DEPORTIVAS DE TRABAJO PARA PERROS SIN PEDIGREE,User,5.5,4.55
2020,CARTILLA DE PRUEBAS DEPORTIVAS PARA PERROS SIN PEDIGREE,Member,6.0,4.96
2021,CARTILLA DE PRUEBAS DEPORTIVAS PARA PERROS SIN PEDIGREE,Member,6.0,4.96
2022,CARTILLA DE PRUEBAS DEPORTIVAS PARA PERROS SIN PEDIGREE,Member,6.3,5.21
2020,CARTILLA DE PRUEBAS DEPORTIVAS PARA PERROS SIN PEDIGREE,User,8.0,6.61
2021,CARTILLA DE PRUEBAS DEPORTIVAS PARA PERROS SIN PEDIGREE,User,8.0,6.61
2022,CARTILLA DE PRUEBAS DEPORTIVAS PARA PERROS SIN PEDIGREE,User,8.4,6.94
2022,CARTILLA PARA PRUEBAS DE CAMPO,Member,21.0,17.36
2023,CARTILLA PARA PRUEBAS DE CAMPO,Member,21.0,17.36
2024,CARTILLA PARA PRUEBAS DE CAMPO,Member,21.7,17.93
2025,CARTILLA PARA PRUEBAS DE CAMPO,Member,22.8,18.84
2026,CARTILLA PARA PRUEBAS DE CAMPO,Member,24.0,19.83
2022,CARTILLA PARA PRUEBAS DE CAMPO,User,28.0,23.14
2023,CARTILLA PARA PRUEBAS DE CAMPO,User,28.0,23.14
2024,CARTILLA PARA PRUEBAS DE CAMPO,User,28.9,23.88
2025,CARTILLA PARA PRUEBAS DE CAMPO,User,30.3,25.04
2026,CARTILLA PARA PRUEBAS DE CAMPO,User,32.0,26.45
2022,CARTILLA PARA PRUEBAS DEPORTIVAS DE CAMPO,Canine_Collaborator,21.54,17.8
2023,CARTILLA PARA PRUEBAS DEPORTIVAS DE CAMPO,Canine_Collaborator,21.54,17.8
2022,CARTILLA PARA PRUEBAS DEPORTIVAS POLIVALENTES - PERRO DE AGUA ESPAÑOL,Canine_Collaborator,21.54,17.8
2023,CARTILLA PARA PRUEBAS DEPORTIVAS POLIVALENTES - PERRO DE AGUA ESPAÑOL,Canine_Collaborator,21.54,17.8
2024,CARTILLA PARA PRUEBAS DEPORTIVAS POLIVALENTES - PERRO DE AGUA ESPAÑOL,Canine_Collaborator,22.23,18.37
2025,CARTILLA PARA PRUEBAS DEPORTIVAS POLIVALENTES - PERRO DE AGUA ESPAÑOL,Canine_Collaborator,23.3,19.26
